key;name;lines;edges
1;Argentine;1;8*1
4;Bastille;1;26*1
5;Berault;1;10*1
8;Charles de Gaulle-Etoile;1;28*1
10;Chateau de Vincennes;1;
17;Concorde;1;75*1
20;Esplanade de la Defense;1;54*1
22;Franklin-Roosevelt;1;7*1
26;Gare de Lyon;1;62*1
28;George V;1;22*1
29;Hotel de Ville;1;68*1
33;La Defense (Grande Arche);1;20*1
37;Les Sablons (Jardin d'acclimatation);1;59*1
39;Louvre-Rivoli;1;13*1
48;Nation;1;57*1
50;Palais-Royal (Musee du Louvre);1;39*1
54;Pont de Neuilly;1;37*1
57;Porte de Vincennes;1;66*1
59;Porte Maillot;1;1*1
62;Reuilly-Diderot;1;48*1
66;Saint-Mande;1;5*1
68;Saint-Paul (Le Marais);1;4*1
75;Tuileries;1;50*1
7;Champs-Elysees-Clemenceau;1,13;17*1,45*13
0;Alesia;4;47*4
3;Barbes-Rochechouart;4;12*4
11;Chateau d'Eau;4;25*4
12;Chateau Rouge;4;43*4
15;Cite;4;13*4
18;Denfert-Rochereau;4;60*4
21;Etienne Marcel;4;61*4
25;Gare de l'Est (Verdun);4;27*4
27;Gare du Nord;4;3*4
36;Les Halles;4;21*4
43;Marcadet-Poissonniers;4;73*4
47;Mouton-Duvernet;4;18*4
55;Porte de Clignancourt;4;
58;Porte d'Orleans (General Leclerc);4;0*4
60;Raspail;4;78*4
61;Reaumur-Sebastopol;4;74*4
64;Saint-Germain des Pres;4;49*4
67;Saint-Michel;4;15*4
69;Saint-Placide;4;70*4
70;Saint-Sulpice;4;64*4
73;Simplon;4;55*4
74;Strasbourg-Saint-Denis;4;11*4
78;Vavin;4;46*4
13;Chatelet;4,1;36*4,29*1
46;Montparnasse-Bienvenue;4,13;69*4,19*13
2;Avenue Emile-Zola;10;35*10
6;Cardinal-Lemoine;10;32*10
9;Charles Michels;10;2*10
16;Cluny-La Sorbonne;10;44*10
24;Gare d'Austerlitz;10;
31;Javel-Andre-Citroen;10;9*10
32;Jussieu;10;24*10
35;La Motte-Picquet-Grenelle;10;71*10
40;Mabillon;10;49*10
44;Maubert-Mutualite;10;6*10
71;Segur;10;19*10
72;Sevres-Babylone;10;40*10
76;Vaneau;10;72*10
19;Duroc;10,13;76*10,63*13
49;Odeon;10,4;67*4,16*10
14;Chatillon Montrouge;13;42*13
23;Gaite;13;46*13
30;Invalides;13;7*13
34;La Fourche;13;
38;Liege;13;52*13
41;Malakoff-Plateau de Vanves;13;56*13
42;Malakoff-Rue Etienne Dolet;13;41*13
45;Miromesnil;13;65*13
51;Pernety;13;23*13
52;Place de Clichy;13;34*13
53;Plaisance;13;51*13
56;Porte de Vanves;13;53*13
63;Saint-Francois-Xavier;13;77*13
65;Saint-Lazare;13;38*13
77;Varenne;13;30*13
